name,birth_date,age,gender,home_country,home_city,home_state,current_country,worth,industry,source,self_made,country_population,country_gdp,country_life_expectancy,country_tax_revenue,country_total_tax_rate,country_gross_primary_education,country_gross_tertiary_education,country_cpi,country_latitude,country_longitude
"Linpeng Wang",1968-05-01,54,Male,China,Beijing,not-applicable,China,2100000000,"Construction & Engineering","Furniture retailing",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Ing-Chou Wei",1953-07-01,69,Male,China,Tianjin,not-applicable,Taiwan,2100000000,"Food & Beverage","Food, beverages",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Yin-Chun Wei",1957-03-08,66,Male,Taiwan,Taipei,not-applicable,Taiwan,2100000000,"Food & Beverage","Food, beverages",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Yin-Heng Wei",1959-01-01,64,Male,China,Shanghai,not-applicable,Taiwan,2100000000,"Food & Beverage","Food, beverages",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Ying-Chiao Wei",1955-02-04,68,Male,Taiwan,Taipei,not-applicable,Taiwan,2100000000,"Food & Beverage","Food, beverages",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Elaine Wynn",1942-04-28,80,Female,"United States","Las Vegas",Nevada,"United States",2100000000,"Gambling & Casinos","Casinos, hotels",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Xudong Xu",1970-03-01,53,Male,China,Ningbo,not-applicable,China,2100000000,Automotive,"Auto parts",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Michael Ying",1949-12-01,73,Male,"Hong Kong","Hong Kong",not-applicable,"Hong Kong",2100000000,"Fashion & Retail",Retail,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Qibing Yu",1965-11-01,57,Male,China,Ningbo,not-applicable,China,2100000000,Manufacturing,Glass,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Fugen Yuan",1950-11-15,72,Male,China,Suzhou,not-applicable,China,2100000000,Manufacturing,"Metal processing",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Ning Zhang",1974-04-01,49,Female,China,Shanghai,not-applicable,Canada,2100000000,Manufacturing,Chemicals,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Tao Zhao",1966-01-01,57,Male,China,Xi'an,not-applicable,Singapore,2100000000,Healthcare,Pharmaceuticals,0,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Anu Aga",1942-08-01,80,Female,India,Pune,not-applicable,India,2000000000,"Construction & Engineering",Engineering,0,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Mohamed Al Fayed",1929-01-27,94,Male,"United Kingdom",London,not-applicable,Egypt,2000000000,"Fashion & Retail","Retail, investments",1,66834405,2827113184696,81.3,25.5,30.6,101.2,60.0,119.6,55.378051,-3.435973
"Andrey Andreev",1974-02-03,49,Male,"United Kingdom",London,not-applicable,"United Kingdom",2000000000,Technology,"Online dating",1,66834405,2827113184696,81.3,25.5,30.6,101.2,60.0,119.6,55.378051,-3.435973
"Michael Ashcroft",1946-01-01,77,Male,"Turks and Caicos Islands","Turks and Caicos Islands",not-applicable,"United Kingdom",2000000000,"Finance & Investments",Security,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Pavel Baudis",1960-05-15,62,Male,"Czech Republic",Prague,not-applicable,"Czech Republic",2000000000,Technology,Software,1,10669709,246489245495,79.0,14.9,46.1,100.7,64.1,116.5,49.817492,15.472962
"Wilhelm Beier",1956-04-21,66,Male,Germany,unknown,not-applicable,Germany,2000000000,Healthcare,Pharmaceuticals,1,83132799,3845630030824,80.9,11.5,48.8,104.0,70.2,112.9,51.165691,10.451526
"Jianwei Cao",1978-05-30,44,Male,China,Shangyu,not-applicable,China,2000000000,Manufacturing,Semiconductors,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Huwen Chen",1970-07-01,52,Male,China,Shanghai,not-applicable,China,2000000000,Manufacturing,Stationery,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Phongthep Chiaravanont",1952-01-01,71,Male,Thailand,Bangkok,not-applicable,Thailand,2000000000,Diversified,Diversified,0,69625582,543649976166,76.9,14.9,29.5,99.8,49.3,113.3,15.870032,100.992541
"Zhenggang Dou",1953-05-21,69,Male,China,Hangzhou,not-applicable,China,2000000000,Diversified,"Energy, chemicals",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Maria Franca Fissolo",1935-01-01,88,Female,Monaco,Monaco,not-applicable,Italy,2000000000,"Food & Beverage","Nutella, chocolates",0,38964,7184844193,NULL,NULL,NULL,NULL,NULL,NULL,43.738418,7.424616
"William Franke",1937-04-15,85,Male,"United States",Houston,Texas,"United States",2000000000,Diversified,"Low-cost airlines",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Mario Germano Giuliani",1972-02-26,51,Male,Monaco,Monaco,not-applicable,Switzerland,2000000000,Healthcare,Pharmaceuticals,0,38964,7184844193,NULL,NULL,NULL,NULL,NULL,NULL,43.738418,7.424616
"Amy Goldman Fowler",1954-04-19,68,Female,"United States",Rhinebeck,"New York","United States",2000000000,"Real Estate","Real estate",0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"John Hancock",1976-01-02,47,Male,"United Kingdom",London,not-applicable,Australia,2000000000,"Metals & Mining",Mining,0,66834405,2827113184696,81.3,25.5,30.6,101.2,60.0,119.6,55.378051,-3.435973
"Yangzhong Hu",1965-03-06,58,Male,China,Hangzhou,not-applicable,China,2000000000,Technology,Technology,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Dawen Huang",1960-11-01,62,Male,"Hong Kong","Hong Kong",not-applicable,"Hong Kong",2000000000,Manufacturing,Silicon,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Qiaoling Huang",1958-11-15,64,Male,China,Hangzhou,not-applicable,China,2000000000,"Media & Entertainment","Amusement parks",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Rajiv Jain",1968-01-27,55,Male,"United States","Fort Lauderdale",Florida,"United States",2000000000,"Finance & Investments",Finance,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Michael Jordan",1963-02-17,60,Male,"United States",Jupiter,Florida,"United States",2000000000,Sports,"Charlotte Hornets, endorsements",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Diane Kemper",1945-07-21,77,Female,"United States","New York","New York","United States",2000000000,"Real Estate","Real estate",0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Shlomo Kramer",1966-03-14,57,Male,Israel,"Tel Aviv",not-applicable,Israel,2000000000,Technology,"Software, investments",1,9053300,395098666122,82.8,23.1,25.3,104.9,63.4,108.2,31.046051,34.851612
"Heikki Kyostila",1946-01-19,77,Male,Finland,Helsinki,not-applicable,Finland,2000000000,Healthcare,"Dental products",1,5520314,268761201365,81.7,20.8,36.6,100.2,88.2,112.3,61.924110,25.748151
"Martin Lau",1973-04-01,50,Male,"Hong Kong","Hong Kong",not-applicable,"Hong Kong",2000000000,Technology,E-commerce,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Min Li",1965-12-26,57,Male,China,Fuzhou,not-applicable,China,2000000000,Technology,Semiconductor,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Rubo Liang",1983-01-01,40,Male,China,Beijing,not-applicable,China,2000000000,Technology,TikTok,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Zhaoxian Liang",1965-01-01,58,Male,China,Foshan,not-applicable,China,2000000000,Manufacturing,Appliances,0,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Fanlian Lin",1961-06-01,61,Male,China,Linyi,not-applicable,China,2000000000,Energy,"Energy, real estate",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Aloke Lohia",1958-11-27,64,Male,Thailand,Bangkok,not-applicable,India,2000000000,Manufacturing,Petrochemicals,0,69625582,543649976166,76.9,14.9,29.5,99.8,49.3,113.3,15.870032,100.992541
"Bill Malhotra",1949-09-08,73,Male,Canada,Ottawa,not-applicable,Canada,2000000000,"Real Estate","Real estate",1,36991981,1736425629520,81.9,12.8,24.5,100.9,68.9,116.8,56.130366,-106.346771
"Alexander Mamut",1960-01-29,63,Male,Israel,"Tel Aviv",not-applicable,Russia,2000000000,"Finance & Investments",Investments,1,9053300,395098666122,82.8,23.1,25.3,104.9,63.4,108.2,31.046051,34.851612
"Craig McCaw",1949-08-11,73,Male,"United States","Hunts Point",Washington,"United States",2000000000,Telecom,Telecom,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Cunhui Nan",1963-07-09,59,Male,China,Wenzhou,not-applicable,China,2000000000,Manufacturing,"Power equipment",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Tengyun Nie",1976-01-24,47,Male,China,Shanghai,not-applicable,China,2000000000,Service,Logistics,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Hong Leong Oei",1948-03-21,75,Male,Singapore,Singapore,not-applicable,Singapore,2000000000,"Finance & Investments",Investments,0,5703569,372062527489,83.1,13.1,21.0,100.6,84.8,114.4,1.352083,103.819836
"Clive Palmer",1954-03-26,69,Male,Australia,Brisbane,not-applicable,Australia,2000000000,"Metals & Mining",Mining,1,25766605,1392680589329,82.7,23.0,47.4,100.3,113.1,119.8,-25.274398,133.775136
"Matthew Prince",1975-01-01,48,Male,"United States","Park City",Utah,"United States",2000000000,Technology,Cybersecurity,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Linda Pritzker",1953-09-14,69,Female,"United States",Missoula,Montana,"United States",2000000000,Service,"Hotels, investments",0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"P.V. Krishna Reddy",1969-06-30,53,Male,India,Hyderabad,not-applicable,India,2000000000,"Construction & Engineering",Infrastructure,1,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Bianca Rinehart",1977-03-19,46,Female,Australia,Brisbane,not-applicable,Australia,2000000000,"Metals & Mining",Mining,0,25766605,1392680589329,82.7,23.0,47.4,100.3,113.1,119.8,-25.274398,133.775136
"Ginia Rinehart",1986-09-06,36,Female,Australia,Sydney,not-applicable,Australia,2000000000,"Metals & Mining",Mining,0,25766605,1392680589329,82.7,23.0,47.4,100.3,113.1,119.8,-25.274398,133.775136
"T. Denny Sanford",1935-12-23,87,Male,"United States","Sioux Falls","South Dakota","United States",2000000000,"Finance & Investments","Banking, credit cards",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Bhadresh Shah",1951-10-07,71,Male,India,Ahmedabad,not-applicable,India,2000000000,Manufacturing,Engineering,1,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Zygmunt Solorz-Zak",1956-08-04,66,Male,Poland,Warsaw,not-applicable,Poland,2000000000,"Media & Entertainment","TV broadcasting",1,37970874,592164400688,77.6,17.4,40.8,100.0,67.8,114.1,51.919438,19.145136
"Michal Strnad",1992-08-04,30,Male,unknown,unknown,not-applicable,"Czech Republic",2000000000,Manufacturing,"Defense Contracting",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sylvia Stroeher",1955-05-30,67,Female,Germany,Darmstadt,not-applicable,Germany,2000000000,"Fashion & Retail",Cosmetics,0,83132799,3845630030824,80.9,11.5,48.8,104.0,70.2,112.9,51.165691,10.451526
"Otto Toto Sugiri",1953-09-23,69,Male,Indonesia,Jakarta,not-applicable,Indonesia,2000000000,Technology,"Data centers",1,270203917,1119190780753,71.5,10.2,30.1,106.4,36.3,151.2,-0.789275,113.921327
"Larry Tanenbaum",1945-07-01,77,Male,Canada,Toronto,not-applicable,Canada,2000000000,Sports,Sports,1,36991981,1736425629520,81.9,12.8,24.5,100.9,68.9,116.8,56.130366,-106.346771
"Wichai Thongtang",1947-01-01,76,Male,Thailand,Bangkok,not-applicable,Thailand,2000000000,"Finance & Investments",Investments,1,69625582,543649976166,76.9,14.9,29.5,99.8,49.3,113.3,15.870032,100.992541
"Ion Tiriac",1939-05-09,83,Male,Romania,Bucharest,not-applicable,Romania,2000000000,"Finance & Investments","Banking, insurance",1,19356544,250077444017,75.4,14.6,20.0,85.2,49.4,123.8,45.943161,24.966760
"Hope Welker",1985-08-13,37,Female,"United States","New York","New York",Australia,2000000000,"Metals & Mining",Mining,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"William Young",1941-01-01,82,Male,"United States",Ypsilanti,Michigan,"United States",2000000000,Manufacturing,Plastics,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Ales Zavoral",1976-10-24,46,Male,unknown,unknown,not-applicable,"Czech Republic",2000000000,"Fashion & Retail",E-commerce,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Fan Zhang",1965-12-29,57,Male,China,Shenzhen,not-applicable,China,2000000000,Technology,"Touch screens",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Shilong Zhang",1966-01-01,57,Male,China,Beijing,not-applicable,China,2000000000,Technology,Semiconductor,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Wanzhen Zhang",1949-12-01,73,Male,China,Chaozhou,not-applicable,China,2000000000,Manufacturing,"Electronics components",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Hongfei Zhao",1974-06-01,48,Male,China,Beijing,not-applicable,China,2000000000,Technology,Software,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Jian Zhou",1976-07-01,46,Male,China,Shenzhen,not-applicable,China,2000000000,Energy,"Solar energy equipment",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Yiwen Zhu",1964-01-01,59,Male,China,Shanghai,not-applicable,China,2000000000,Healthcare,Healthcare,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Roberto Angelini Rossi",1948-07-30,74,Male,Chile,Santiago,not-applicable,Chile,1900000000,Diversified,"Forestry, mining",0,18952038,282318159745,80.0,18.2,34.0,101.4,88.5,131.9,-35.675147,-71.542969
"Mika Anttonen",1966-12-18,56,Male,Finland,Helsinki,not-applicable,Finland,1900000000,Energy,"Oil & gas",1,5520314,268761201365,81.7,20.8,36.6,100.2,88.2,112.3,61.924110,25.748151
"David Blitzer",1969-09-07,53,Male,"United States","New York","New York","United States",1900000000,Sports,Sports,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Julio Bozano",1936-02-01,87,Male,Brazil,"Rio de Janeiro",not-applicable,Brazil,1900000000,"Finance & Investments",Banking,1,212559417,1839758040766,75.7,14.2,65.1,115.4,51.3,167.4,-14.235004,-51.925280
"Nikolai Buinov",1967-07-09,55,Male,Russia,Irkutsk,not-applicable,Russia,1900000000,Energy,"Oil, gas",1,144373535,1699876578871,72.7,11.4,46.2,102.6,81.9,180.8,61.524010,105.318756
"Nicola Bulgari",1941-01-16,82,Male,Italy,Rome,not-applicable,Italy,1900000000,"Fashion & Retail","Luxury goods",0,60297396,2001244392042,82.9,24.3,59.1,101.9,61.9,110.6,41.871940,12.567380
"Howard Butt",1952-04-04,71,Male,"United States","San Antonio",Texas,"United States",1900000000,"Fashion & Retail",Supermarkets,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Stephen Butt",1955-05-24,67,Male,unknown,unknown,not-applicable,"United States",1900000000,"Fashion & Retail",Supermarkets,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jianxing Che",1966-07-18,56,Male,China,Shanghai,not-applicable,China,1900000000,"Fashion & Retail","Furniture retailing",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Huxiong Chen",1970-07-01,52,Male,China,Shanghai,not-applicable,China,1900000000,Manufacturing,Stationery,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Qiongxiang Chen",1960-03-29,65,Female,China,Ningde,not-applicable,China,1900000000,Energy,Batteries,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Zhisong Chen",1966-01-07,57,Male,China,Xiamen,not-applicable,China,1900000000,Technology,"Communication equipment",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Manas Chiaravanond",1960-03-29,65,Male,Thailand,Bangkok,not-applicable,Thailand,1900000000,Diversified,Diversified,0,69625582,543649976166,76.9,14.9,29.5,99.8,49.3,113.3,15.870032,100.992541
"Prathip Chiravanond",1948-10-21,74,Male,Thailand,Bangkok,not-applicable,Thailand,1900000000,Diversified,Diversified,0,69625582,543649976166,76.9,14.9,29.5,99.8,49.3,113.3,15.870032,100.992541
"Alexandra Daitch",1963-01-01,60,Female,"United States","Old Lyme",Connecticut,"United States",1900000000,"Food & Beverage",Cargill,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Sol Daurella",1966-01-01,57,Female,Spain,Madrid,not-applicable,Spain,1900000000,"Food & Beverage","Coca-Cola bottler",0,47076781,1394116310769,83.3,14.2,47.0,102.7,88.9,111.0,40.463667,-3.749220
"Mark Davis",1955-05-18,67,Male,"United States",Henderson,Nevada,"United States",1900000000,Sports,"Las Vegas Raiders",0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"James Dinan",1959-05-22,63,Male,"United States","North Salem","New York","United States",1900000000,"Finance & Investments","Hedge funds",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Fan Dong",1972-03-29,53,Male,China,Zhuhai,not-applicable,China,1900000000,Healthcare,"Medical devices",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Fritz Draexlmaier",1960-03-29,65,Male,Germany,Landshut,not-applicable,Germany,1900000000,Automotive,"Auto parts",0,83132799,3845630030824,80.9,11.5,48.8,104.0,70.2,112.9,51.165691,10.451526
"Bulent Eczacibasi",1949-12-25,73,Male,Turkey,Istanbul,not-applicable,Turkey,1900000000,Diversified,"Pharmaceuticals, diversified",0,83429615,754411708203,77.4,17.9,42.3,93.2,23.9,234.4,38.963745,35.243322
"Faruk Eczacibasi",1954-06-15,68,Male,Turkey,Istanbul,not-applicable,Turkey,1900000000,Diversified,"Pharmaceuticals, diversified",0,83429615,754411708203,77.4,17.9,42.3,93.2,23.9,234.4,38.963745,35.243322
"Eduardo Eurnekian",1932-12-04,90,Male,Argentina,"Buenos Aires",not-applicable,Argentina,1900000000,Diversified,"Airports, investments",1,44938712,449663446954,76.5,10.1,106.3,109.7,90.0,232.8,-38.416097,-63.616672
"David Fong",1957-05-29,65,Male,"Hong Kong","Hong Kong",not-applicable,"Hong Kong",1900000000,"Real Estate","Real estate",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhenyu Guo",1963-11-01,59,Male,China,Kunming,not-applicable,Canada,1900000000,"Fashion & Retail",Cosmetics,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Surjit Kumar Gupta",1942-01-13,81,Male,India,Delhi,not-applicable,India,1900000000,Manufacturing,"Electrical equipment",0,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Caroline Hagen Kjos",1984-01-01,39,Female,Switzerland,Wollerau,not-applicable,Norway,1900000000,Diversified,Conglomerate,0,8574832,703082435360,83.6,10.1,28.8,105.2,59.6,99.6,46.818188,8.227512
"Roberto Hernandez Ramirez",1942-03-24,81,Male,Mexico,"Mexico City",not-applicable,Mexico,1900000000,"Finance & Investments","Banking, investments",1,126014024,1258286717125,75.0,13.1,55.1,105.8,40.2,141.5,23.634501,-102.552784
"Reid Hoffman",1967-08-05,55,Male,"United States","Palo Alto",California,"United States",1900000000,Technology,LinkedIn,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Rongda Hu",1959-01-01,64,Male,China,Jinhua,not-applicable,China,1900000000,Manufacturing,Chemicals,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
